city,state_code,normalized_city
Apo,AA,APO
Dpo,AA,DPO
Fpo,AA,FPO
Apo,AE,APO
Dpo,AE,DPO
Fpo,AE,FPO
Adak,AK,ADAK
Akiachak,AK,AKIACHAK
Akiak,AK,AKIAK
Akutan,AK,AKUTAN
Alakanuk,AK,ALAKANUK
Aleknagik,AK,ALEKNAGIK
Allakaket,AK,ALLAKAKET
Ambler,AK,AMBLER
Anaktuvuk Pass,AK,ANAKTUVUK PASS
Anchor Point,AK,ANCHOR POINT
Anchorage,AK,ANCHORAGE
Anderson,AK,ANDERSON
Angoon,AK,ANGOON
Aniak,AK,ANIAK
Anvik,AK,ANVIK
Arctic Village,AK,ARCTIC VILLAGE
Atka,AK,ATKA
Atqasuk,AK,ATQASUK
Auke Bay,AK,AUKE BAY
Barrow,AK,BARROW
Beaver,AK,BEAVER
Bethel,AK,BETHEL
Bettles Field,AK,BETTLES FIELD
Big Lake,AK,BIG LAKE
Brevig Mission,AK,BREVIG MISSION
Buckland,AK,BUCKLAND
Cantwell,AK,CANTWELL
Central,AK,CENTRAL
Chalkyitsik,AK,CHALKYITSIK
Chefornak,AK,CHEFORNAK
Chevak,AK,CHEVAK
Chicken,AK,CHICKEN
Chignik,AK,CHIGNIK
Chignik Lagoon,AK,CHIGNIK LAGOON
Chignik Lake,AK,CHIGNIK LAKE
Chitina,AK,CHITINA
Chugiak,AK,CHUGIAK
Circle,AK,CIRCLE
Clam Gulch,AK,CLAM GULCH
Clarks Point,AK,CLARKS POINT
Clear,AK,CLEAR
Coffman Cove,AK,COFFMAN COVE
Cold Bay,AK,COLD BAY
Cooper Landing,AK,COOPER LANDING
Copper Center,AK,COPPER CENTER
Cordova,AK,CORDOVA
Craig,AK,CRAIG
Crooked Creek,AK,CROOKED CREEK
Deering,AK,DEERING
Delta Junction,AK,DELTA JUNCTION
Denali National Park,AK,DENALI NATIONAL PARK
Dillingham,AK,DILLINGHAM
Douglas,AK,DOUGLAS
Dutch Harbor,AK,DUTCH HARBOR
Eagle,AK,EAGLE
Eagle River,AK,EAGLE RIVER
Eek,AK,EEK
Egegik,AK,EGEGIK
Eielson AFB,AK,EIELSON AFB
Ekwok,AK,EKWOK
Elfin Cove,AK,ELFIN COVE
Elim,AK,ELIM
Emmonak,AK,EMMONAK
Ester,AK,ESTER
Fairbanks,AK,FAIRBANKS
False Pass,AK,FALSE PASS
Fort Greely,AK,FORT GREELY
Fort Wainwright,AK,FORT WAINWRIGHT
Fort Yukon,AK,FORT YUKON
Gakona,AK,GAKONA
Galena,AK,GALENA
Gambell,AK,GAMBELL
Girdwood,AK,GIRDWOOD
Glennallen,AK,GLENNALLEN
Goodnews Bay,AK,GOODNEWS BAY
Grayling,AK,GRAYLING
Gustavus,AK,GUSTAVUS
Haines,AK,HAINES
Healy,AK,HEALY
Holy Cross,AK,HOLY CROSS
Homer,AK,HOMER
Hoonah,AK,HOONAH
Hooper Bay,AK,HOOPER BAY
Hope,AK,HOPE
Houston,AK,HOUSTON
Hughes,AK,HUGHES
Huslia,AK,HUSLIA
Hydaburg,AK,HYDABURG
Hyder,AK,HYDER
Iliamna,AK,ILIAMNA
Indian,AK,INDIAN
Jber,AK,JBER
Juneau,AK,JUNEAU
Kake,AK,KAKE
Kaktovik,AK,KAKTOVIK
Kalskag,AK,KALSKAG
Kaltag,AK,KALTAG
Karluk,AK,KARLUK
Kasigluk,AK,KASIGLUK
Kasilof,AK,KASILOF
Kenai,AK,KENAI
Ketchikan,AK,KETCHIKAN
Kiana,AK,KIANA
King Cove,AK,KING COVE
King Salmon,AK,KING SALMON
Kipnuk,AK,KIPNUK
Kivalina,AK,KIVALINA
Klawock,AK,KLAWOCK
Kobuk,AK,KOBUK
Kodiak,AK,KODIAK
Kongiganak,AK,KONGIGANAK
Kotlik,AK,KOTLIK
Kotzebue,AK,KOTZEBUE
Koyuk,AK,KOYUK
Koyukuk,AK,KOYUKUK
Kwethluk,AK,KWETHLUK
Kwigillingok,AK,KWIGILLINGOK
Lake Minchumina,AK,LAKE MINCHUMINA
Larsen Bay,AK,LARSEN BAY
Levelock,AK,LEVELOCK
Lower Kalskag,AK,LOWER KALSKAG
Manley Hot Springs,AK,MANLEY HOT SPRINGS
Manokotak,AK,MANOKOTAK
Marshall,AK,MARSHALL
Mc Grath,AK,MC GRATH
Mekoryuk,AK,MEKORYUK
Metlakatla,AK,METLAKATLA
Meyers Chuck,AK,MEYERS CHUCK
Minto,AK,MINTO
Moose Pass,AK,MOOSE PASS
Mountain Village,AK,MOUNTAIN VILLAGE
Naknek,AK,NAKNEK
Napakiak,AK,NAPAKIAK
Nenana,AK,NENANA
New Stuyahok,AK,NEW STUYAHOK
Nightmute,AK,NIGHTMUTE
Nikiski,AK,NIKISKI
Nikolai,AK,NIKOLAI
Nikolski,AK,NIKOLSKI
Ninilchik,AK,NINILCHIK
Noatak,AK,NOATAK
Nome,AK,NOME
Nondalton,AK,NONDALTON
Noorvik,AK,NOORVIK
North Pole,AK,NORTH POLE
Northway,AK,NORTHWAY
Nuiqsut,AK,NUIQSUT
Nulato,AK,NULATO
Nunam Iqua,AK,NUNAM IQUA
Nunapitchuk,AK,NUNAPITCHUK
Old Harbor,AK,OLD HARBOR
Ouzinkie,AK,OUZINKIE
Palmer,AK,PALMER
Pedro Bay,AK,PEDRO BAY
Pelican,AK,PELICAN
Perryville,AK,PERRYVILLE
Petersburg,AK,PETERSBURG
Pilot Point,AK,PILOT POINT
Pilot Station,AK,PILOT STATION
Platinum,AK,PLATINUM
Point Baker,AK,POINT BAKER
Point Hope,AK,POINT HOPE
Point Lay,AK,POINT LAY
Port Alexander,AK,PORT ALEXANDER
Port Alsworth,AK,PORT ALSWORTH
Port Heiden,AK,PORT HEIDEN
Port Lions,AK,PORT LIONS
Prudhoe Bay,AK,PRUDHOE BAY
Quinhagak,AK,QUINHAGAK
Rampart,AK,RAMPART
Red Devil,AK,RED DEVIL
Ruby,AK,RUBY
Russian Mission,AK,RUSSIAN MISSION
Saint George Island,AK,SAINT GEORGE ISLAND
Saint Marys,AK,SAINT MARYS
Saint Michael,AK,SAINT MICHAEL
Saint Paul Island,AK,SAINT PAUL ISLAND
Salcha,AK,SALCHA
Sand Point,AK,SAND POINT
Savoonga,AK,SAVOONGA
Scammon Bay,AK,SCAMMON BAY
Selawik,AK,SELAWIK
Seldovia,AK,SELDOVIA
Seward,AK,SEWARD
Shageluk,AK,SHAGELUK
Shaktoolik,AK,SHAKTOOLIK
Shishmaref,AK,SHISHMAREF
Shungnak,AK,SHUNGNAK
Sitka,AK,SITKA
Skagway,AK,SKAGWAY
Skwentna,AK,SKWENTNA
Sleetmute,AK,SLEETMUTE
Soldotna,AK,SOLDOTNA
South Naknek,AK,SOUTH NAKNEK
Stebbins,AK,STEBBINS
Sterling,AK,STERLING
Stevens Village,AK,STEVENS VILLAGE
Sutton,AK,SUTTON
Takotna,AK,TAKOTNA
Talkeetna,AK,TALKEETNA
Tanacross,AK,TANACROSS
Tanana,AK,TANANA
Tatitlek,AK,TATITLEK
Teller,AK,TELLER
Tenakee Springs,AK,TENAKEE SPRINGS
Thorne Bay,AK,THORNE BAY
Togiak,AK,TOGIAK
Tok,AK,TOK
Toksook Bay,AK,TOKSOOK BAY
Trapper Creek,AK,TRAPPER CREEK
Tuluksak,AK,TULUKSAK
Tuntutuliak,AK,TUNTUTULIAK
Tununak,AK,TUNUNAK
Two Rivers,AK,TWO RIVERS
Tyonek,AK,TYONEK
Unalakleet,AK,UNALAKLEET
Unalaska,AK,UNALASKA
Valdez,AK,VALDEZ
Venetie,AK,VENETIE
Wainwright,AK,WAINWRIGHT
Wales,AK,WALES
Ward Cove,AK,WARD COVE
Wasilla,AK,WASILLA
White Mountain,AK,WHITE MOUNTAIN
Whittier,AK,WHITTIER
Willow,AK,WILLOW
Wrangell,AK,WRANGELL
Yakutat,AK,YAKUTAT
Abbeville,AL,ABBEVILLE
Abernant,AL,ABERNANT
Adamsville,AL,ADAMSVILLE
Addison,AL,ADDISON
Adger,AL,ADGER
Akron,AL,AKRON
Alabaster,AL,ALABASTER
Alberta,AL,ALBERTA
Albertville,AL,ALBERTVILLE
Alexander City,AL,ALEXANDER CITY
